Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
25:22.0,0.871582,7.999756,4.622314
25:22.0,1.641113,7.876953,0.703613
25:22.0,1.501709,6.217773,-2.669434
25:22.1,1.805176,4.94751,-2.574707
25:22.1,1.37085,4.150146,-1.019043
25:22.1,0.378906,3.078369,-0.165283
25:22.1,-0.464844,2.034912,0.276367
25:22.1,-0.826416,1.218994,0.665527
25:22.1,-0.739746,0.74292,0.731201
25:22.1,-0.541748,0.475586,0.486084
25:22.1,-0.341309,0.276855,0.261719
25:22.1,-0.110107,0.179443,0.1521
25:22.1,0.048828,0.168945,0.130615
25:22.2,0.126953,0.171875,0.17041
25:22.2,0.167236,0.169678,0.223877
25:22.2,0.174805,0.180176,0.250244
25:22.2,0.161133,0.211182,0.239502
25:22.2,0.148438,0.224854,0.224609
25:22.2,0.106201,0.279785,0.192139
25:22.2,0.05127,0.341064,0.190186
25:22.2,0.056396,0.428467,0.161865
25:22.2,0.086914,0.550537,0.146484
25:22.2,0.11499,0.690674,0.102783
25:22.3,0.189453,0.85083,0.052246
25:22.3,0.269531,0.983643,0.032227
25:22.3,0.351074,1.08374,0.031006
25:22.3,0.4021,1.149658,0.030273
25:22.3,0.436035,1.215332,0.044189
25:22.3,0.438477,1.233887,0.092041
25:22.3,0.406982,1.234619,0.093994
25:22.3,0.390625,1.219238,0.077637
25:22.3,0.374756,1.155273,0.141113
25:22.3,0.358643,1.09082,0.172363
25:22.4,0.341553,1.010742,0.170654
25:22.4,0.294189,0.930664,0.140625
25:22.4,0.279541,0.852539,0.175049
25:22.4,0.263428,0.806396,0.206055
25:22.4,0.248779,0.758301,0.219482
25:22.4,0.25,0.712158,0.22168
25:22.4,0.25,0.681641,0.252441
25:22.4,0.25,0.649414,0.251709
25:22.4,0.247559,0.621338,0.267334
25:22.4,0.234619,0.626953,0.262939
25:22.5,0.254639,0.644043,0.250732
25:22.5,0.265137,0.663086,0.267334
25:22.5,0.245361,0.693848,0.265625
25:22.5,0.229492,0.707764,0.265625
25:22.5,0.213135,0.723389,0.264893
25:22.5,0.201416,0.73877,0.269775
25:22.5,0.199951,0.758301,0.280273
25:22.5,0.181885,0.791992,0.260742
25:22.5,0.16626,0.822754,0.240234
25:22.5,0.150391,0.858643,0.211426
25:22.6,0.131836,0.908203,0.193359
25:22.6,0.12915,0.955566,0.158691
25:22.6,0.172363,1.001709,0.13208
25:22.6,0.223145,1.054199,0.119629
25:22.6,0.265137,1.119629,0.099854
25:22.6,0.296875,1.183838,0.059082
25:22.6,0.315674,1.242432,0.012695
25:22.6,0.316895,1.284424,-0.00293
25:22.6,0.334961,1.302734,-0.003174
25:22.6,0.352295,1.293457,-0.029053
25:22.7,0.361572,1.269043,-0.057861
25:22.7,0.359375,1.237061,-0.064453
25:22.7,0.361084,1.200195,-0.065918
25:22.7,0.355713,1.145508,-0.051514
25:22.7,0.330566,1.071289,-0.019531
25:22.7,0.296875,0.998291,0.026611
25:22.7,0.261475,0.935303,0.09375
25:22.7,0.244141,0.880371,0.160645
25:22.7,0.256104,0.826904,0.207031
25:22.7,0.271484,0.813232,0.239014
25:22.8,0.300049,0.829834,0.253418
25:22.8,0.313477,0.871826,0.251953
25:22.8,0.32373,0.939941,0.243164
25:22.8,0.324707,1.000488,0.230225
25:22.8,0.291992,1.072998,0.191162
25:22.8,0.276123,1.153076,0.166992
25:22.8,0.286377,1.229492,0.122314
25:22.8,0.313477,1.318359,0.067627
25:22.8,0.348633,1.416504,0.006836
25:22.8,0.369629,1.498291,-0.041016
25:22.9,0.379639,1.582031,-0.053467
25:22.9,0.417236,1.697021,-0.027344
25:22.9,0.461914,1.836426,-0.000244
25:22.9,0.529541,1.988525,-0.001221
25:22.9,0.628418,2.095703,-0.046387
25:22.9,0.706543,2.121826,-0.156006
25:22.9,0.676025,2.081299,-0.22998
25:22.9,0.484619,1.956787,-0.224121
25:22.9,0.236816,1.796875,-0.222168
25:22.9,0.044922,1.650635,-0.21167
25:23.0,-0.103516,1.514404,-0.087891
25:23.0,-0.241455,1.329102,0.050293
25:23.0,-0.300293,1.162109,0.13916
25:23.0,-0.353027,1.010742,0.20752
25:23.0,-0.466309,0.917725,0.246582
25:23.0,-0.624023,0.87915,0.247314
25:23.0,-0.899658,0.863281,0.272217
25:23.0,-1.325195,0.854492,0.322998
25:23.0,-1.855713,0.601318,0.506836
25:23.0,-2.216553,0.04248,0.60376
25:23.1,-2.885742,-1.641846,1.288086
25:23.1,-3.476318,-3.979004,2.193359
25:23.1,-3.861816,-5.220459,2.686768
25:23.1,-3.935303,-5.124756,2.289307
25:23.1,-3.981201,-3.633301,1.447021
25:23.1,-4.434082,-1.297852,0.762939
25:23.1,-5.908203,1.116699,1.060791
25:23.1,-7.027832,4.184082,1.605713
25:23.1,-7.163574,7.075684,3.651611
25:23.1,-5.284424,7.999756,6.241211
25:23.2,-0.979004,7.989746,6.236816
25:23.2,0.720703,7.895264,3.032227
25:23.2,1.187744,6.652344,-1.858887
25:23.2,2.0354,5.515625,-2.44873
25:23.2,1.926514,4.465576,-1.103516
25:23.2,0.763916,3.415771,-0.269287
25:23.2,-0.229004,2.184326,0.385742
25:23.2,-0.715332,1.376709,0.968262
25:23.2,-0.748779,0.858643,0.95752
25:23.2,-0.608887,0.537598,0.761475
25:23.3,-0.468262,0.313232,0.537598
25:23.3,-0.26416,0.184082,0.335449
25:23.3,-0.072754,0.149902,0.310303
25:23.3,0.037598,0.179443,0.279785
25:23.3,0.11792,0.217041,0.29248
25:23.3,0.1521,0.266602,0.256836
